ì;7,31 ;0,00 ;0,00 ;1,02 ;0,85 ;2,72 ;0,00 ;0,00 ;0,17 ;0,00 ;3,91 ;0,34 ;2,38 ;0,00 ;0,00 ;0,51 ;1,19 ;3,23 ;3,91 ;0,00 ;0,34 ;0,00 ;3,06 ;1,87 ;1,70 ;0,00 ;0,00 ;2,04 ;0,00 ;0,17 ;0,00 ;0,17 ;63,10 ;
j;28,89 ;0,33 ;0,00 ;0,33 ;0,22 ;11,36 ;0,22 ;0,44 ;0,11 ;0,22 ;0,55 ;10,69 ;0,00 ;0,33 ;1,76 ;0,11 ;0,22 ;0,22 ;21,61 ;0,00 ;0,11 ;0,00 ;0,44 ;0,00 ;0,33 ;14,77 ;0,11 ;0,00 ;0,00 ;0,00 ;0,33 ;0,00 ;6,28 ;
k;17,21 ;0,04 ;0,47 ;0,00 ;0,20 ;19,29 ;0,00 ;0,00 ;0,27 ;0,39 ;3,10 ;15,41 ;0,00 ;0,35 ;1,84 ;2,98 ;0,82 ;1,10 ;6,94 ;0,04 ;0,04 ;0,00 ;2,82 ;4,04 ;1,18 ;3,72 ;0,00 ;0,16 ;0,55 ;0,00 ;2,04 ;0,04 ;14,97 ;
l;19,41 ;0,02 ;0,30 ;1,27 ;0,80 ;15,92 ;0,01 ;0,03 ;0,42 ;0,75 ;0,03 ;26,86 ;0,04 ;0,00 ;0,06 ;11,49 ;1,06 ;0,08 ;10,60 ;0,17 ;0,65 ;0,01 ;0,03 ;0,62 ;3,26 ;3,74 ;0,01 ;0,73 ;0,02 ;0,03 ;0,12 ;0,61 ;0,86 ;
m;16,41 ;0,01 ;4,50 ;0,05 ;0,01 ;16,86 ;0,01 ;0,05 ;0,02 ;0,01 ;0,01 ;15,29 ;0,01 ;0,01 ;0,01 ;0,04 ;8,84 ;0,14 ;25,25 ;0,06 ;8,48 ;0,00 ;0,03 ;0,07 ;0,03 ;2,88 ;0,01 ;0,03 ;0,01 ;0,00 ;0,04 ;0,00 ;0,79 ;
n;11,80 ;0,00 ;0,05 ;5,24 ;11,08 ;10,32 ;0,01 ;0,02 ;2,05 ;3,72 ;0,03 ;10,30 ;0,02 ;0,02 ;0,07 ;0,03 ;0,02 ;4,19 ;15,86 ;0,11 ;0,02 ;0,31 ;0,04 ;3,08 ;15,57 ;1,43 ;0,01 ;1,12 ;0,01 ;0,00 ;0,06 ;2,08 ;1,34 ;
o;0,25 ;0,00 ;0,88 ;3,38 ;1,65 ;0,25 ;0,00 ;0,00 ;1,20 ;3,22 ;0,05 ;0,80 ;0,00 ;0,01 ;0,05 ;9,42 ;4,44 ;14,39 ;0,24 ;0,00 ;2,49 ;0,05 ;10,12 ;6,14 ;3,74 ;0,29 ;0,00 ;1,83 ;0,08 ;0,05 ;0,04 ;0,47 ;34,49 ;
ò;0,00 ;0,00 ;0,00 ;0,03 ;0,00 ;0,00 ;0,00 ;0,00 ;0,03 ;0,13 ;0,00 ;0,00 ;0,00 ;0,03 ;0,00 ;0,09 ;0,09 ;0,41 ;0,00 ;0,00 ;0,03 ;0,00 ;0,22 ;0,16 ;0,03 ;0,00 ;0,00 ;0,09 ;0,00 ;0,00 ;0,00 ;0,00 ;98,64 ;
p;17,89 ;0,01 ;0,01 ;0,01 ;0,01 ;17,04 ;0,01 ;0,03 ;0,04 ;0,00 ;0,26 ;16,03 ;0,03 ;0,00 ;0,00 ;3,81 ;0,01 ;0,20 ;13,65 ;0,05 ;7,11 ;0,00 ;17,20 ;0,95 ;0,49 ;4,87 ;0,00 ;0,00 ;0,00 ;0,00 ;0,04 ;0,02 ;0,24 ;
q;0,23 ;0,00 ;0,02 ;0,02 ;0,00 ;0,07 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,07 ;0,00 ;0,00 ;0,00 ;0,00 ;0,02 ;0,00 ;0,09 ;0,00 ;0,00 ;0,28 ;0,00 ;0,00 ;0,00 ;98,64 ;0,00 ;0,07 ;0,09 ;0,00 ;0,00 ;0,02 ;0,35 ;
